date,amount
2019-01-06,7220.0
2019-01-13,7404.0
2019-01-20,7615.0
2019-01-27,7881.0
2019-02-03,7765.0
2019-02-10,7677.0
2019-02-17,7883.0
2019-02-24,7774.0
2019-03-03,7935.0
2019-03-10,7852.0
2019-03-17,7940.0
2019-03-24,7849.0
2019-03-31,7970.0
2019-04-07,7856.0
2019-04-14,8035.0
2019-04-21,8147.0
2019-04-28,8137.0
2019-05-05,8033.0
2019-05-12,8116.0
2019-05-19,7822.0
2019-05-26,7988.0
2019-06-02,7875.0
2019-06-09,8031.0
2019-06-16,7998.0
2019-06-23,8245.0
2019-06-30,7212.0
2019-07-07,5637.0
2019-07-14,5834.0
2019-07-21,5988.0
2019-07-28,5952.0
2019-08-04,6170.0
2019-08-11,6172.0
2019-08-18,6293.0
2019-08-25,6412.0
2019-09-01,6482.0
2019-09-08,6486.0
2019-09-15,6500.0
2019-09-22,6548.0
2019-09-29,6692.0
2019-10-06,6460.0
2019-10-13,6636.0
2019-10-20,6683.0
2019-10-27,6808.0
2019-11-03,6746.0
2019-11-10,6840.0
2019-11-17,6939.0
2019-11-24,7072.0
2019-12-01,7032.0
2019-12-08,7035.0
2019-12-15,7214.0
2019-12-22,7187.0
2019-12-29,7209.0
2020-01-05,
